Month Year  EOF-1  EOF-2  EOF-3  EOF-4  EOF-5  EOF-6  EOF-7  EOF-8  EOF-9 EOF-10
    9 2001  23.70 -37.77 -12.08   4.58 -11.71  -0.78   2.85  -3.73   0.75   0.47
   10 2001  33.67 -28.84 -13.90  -1.10  -1.55  -1.26   2.34   3.91  -0.05  -0.77
   11 2001  40.92 -17.40 -16.18  -3.59   0.76 -10.97  -1.57   3.24  -5.08  -0.75
   12 2001  47.93  -4.62 -14.10  -0.36  13.82   1.34  -0.34   3.47  -0.63  -0.12
    1 2002  52.26  -3.12  -3.29  -7.27  -1.17   0.26  -3.76  -5.23   5.30  -1.24
    2 2002  50.77   2.76   6.66   0.59   8.19   1.92   0.52  -6.92  -2.63  -0.56
    3 2002  56.50   8.05  19.03  -0.72  -1.82   4.35   1.68   0.19  -0.23   0.61
    4 2002  44.12  15.14  15.11   5.50  -2.81   1.12   1.77   1.89   2.86  -2.06
    5 2002  33.74  26.89   2.34  13.01   1.37   1.45   0.59   2.02  -0.28  -0.71
    6 2002  12.56  33.31  -6.46  10.01   0.67   2.85  -3.05   1.80  -0.75   1.26
    7 2002  13.43  35.03  -8.42  -0.73 -12.95  -1.39  -3.60   2.21   0.47   0.08
    8 2002   7.25  32.56  -7.57   9.79  -0.20  -0.71  -0.35   0.25  -0.54  -0.17
    9 2002   6.36  28.58  -6.45  12.65   4.22   1.78  -1.06  -0.13   0.47  -0.50
   10 2002  -7.69  28.31  -6.08   9.15   4.42   0.33  -0.12  -2.25   1.04   1.69
   11 2002 -22.10  20.70  -8.23   1.93  -0.35   3.60  -1.25  -1.37  -0.48  -1.02
   12 2002 -26.38  17.01  -6.06  -2.57  -2.05   8.91  -7.26   2.66   3.10   0.01
    1 2003 -25.78  11.18   3.08  -1.22   8.00   5.36  -5.57   0.46   0.35   0.63
    2 2003 -30.47   9.33   4.65  -6.74   7.12   2.31  -2.41  -0.35   1.61  -0.72
    3 2003 -37.64   6.21   0.04  -3.65   5.75   2.95  -0.94  -4.46  -0.36  -0.77
    4 2003 -37.65   0.54  -3.31  -3.42  -5.92   7.73  -0.02  -2.75  -0.63  -0.88
    5 2003 -34.49  -9.30  -4.47  -1.01  -7.91   1.50   2.28   0.55   0.61  -1.07
    6 2003 -23.64 -21.40   9.63  -1.16   2.80  -5.68   8.10   1.60  -0.70   0.95
    7 2003  -8.46 -33.59  17.12   7.64   3.93  -2.61  -5.00   4.35  -2.86   0.36
    8 2003   3.90 -37.82  10.92   9.23   1.11  -0.56  -7.86   2.77   0.46   0.17
    9 2003  10.33 -37.40   2.90  16.74   6.05   3.25  -0.66   1.58   0.30   0.76
   10 2003  16.09 -38.17  -2.92  14.73   1.44   2.16   2.35  -0.72   0.43  -0.06
   11 2003  24.82 -35.81  -4.49  12.38  -6.58   2.88   1.59  -3.86   0.73   0.75
   12 2003  40.62 -30.68  -7.73  13.51  -0.05   0.27   1.89  -1.43  -0.69   0.46
    1 2004  50.18 -23.50 -11.50   6.48   4.84   1.84   2.62   3.99   0.38   0.36
    2 2004  42.96 -13.47  -5.94   0.93  11.37  -0.06   1.34  -1.90   0.90  -0.33
    3 2004  50.04  -8.46   0.88  -8.49  -0.22  -4.55  -3.02  -7.42   0.58   0.07
    4 2004  47.53   9.35  13.03  -2.64  -0.06   6.32   1.53  -0.63   1.00   0.39
    5 2004  44.85  17.25  14.25   4.35  -1.40   0.53   1.88  -0.00  -1.96  -0.94
    6 2004  33.86  23.44  13.94  10.58   2.37  -1.65   0.69   0.54  -0.18  -1.66
    7 2004  28.51  24.28  13.44   7.08  -1.92  -3.86  -2.41   1.29   0.54   0.55
    8 2004  18.35  22.91  11.40   4.26   5.56  -1.80  -0.94   0.50   1.76  -0.05
    9 2004   2.49  20.50   5.84   1.00   6.85  -3.99  -1.81  -0.69  -1.26   0.61
   10 2004  -8.30  23.29   4.49  -1.24   6.78  -2.89  -0.61  -0.31  -0.02   0.25
   11 2004 -20.78  20.44   2.83  -7.11   8.87   0.68  -3.24  -0.58  -0.57   0.67
   12 2004 -31.13  18.10   2.43  -4.57   9.50   0.45  -3.24  -1.87  -0.07  -0.05
    1 2005 -33.50  14.20   0.05  -7.29   5.99   7.35  -3.37  -0.44  -0.42  -1.10
    2 2005 -36.68  17.24   1.47  -6.07   8.25   7.52  -3.13   1.88   0.19  -0.16
    3 2005 -40.03  19.65   3.65  -6.29  -3.74  -1.23  -4.78  -2.52   1.43   0.00
    4 2005 -41.86   3.25  -1.89   0.49  -1.19   8.40  -1.57  -2.30  -1.30   0.47
    5 2005 -42.53  -3.79  -8.15   1.38 -11.11   2.62  -1.28   2.40   2.27   1.24
    6 2005 -44.67  -9.49 -18.26   2.13  -4.90  -1.91  -1.73   1.96  -3.81   1.30
    7 2005 -40.03 -20.49 -11.87  -1.56  -1.26  -5.48   1.59   0.89  -3.60  -0.27
    8 2005 -41.14 -26.79 -14.03   2.04  10.48  -3.00   5.66   0.81  -1.26  -0.97
    9 2005 -32.06 -38.23  -1.71  -9.09   9.46  -2.85   7.49   0.94   0.83   0.70
   10 2005 -10.78 -45.06   4.06  -4.54   4.23   0.93  -7.21  -0.35  -2.11  -2.59
   11 2005   9.78 -42.70   1.34   5.30  -2.99   4.51  -6.61  -2.58  -2.90  -1.07
   12 2005  22.47 -41.09  -6.09  15.32  -4.87   3.01  -2.51  -6.36  -1.44  -0.57
    1 2006  30.62 -41.49  -5.99   9.01 -17.65  -1.41   0.09  -2.89   0.36  -0.38
    2 2006  40.04 -29.81  -9.95   3.48  -6.24  -0.02   4.63   5.86   0.35   0.12
    3 2006  46.55 -19.13 -11.01   0.58   2.03 -12.16  -1.16   3.94  -2.54   1.70
    4 2006  40.62  -5.68 -12.69  -5.96   5.01   0.56  -2.56  -5.50  -1.42   0.56
    5 2006  46.18   8.98   3.19  -3.06   5.49   9.20   1.67  -3.60  -3.38   1.58
    6 2006  43.61  25.50   8.39  -1.21  -5.27   7.78   2.45   3.78  -1.87   0.61
    7 2006  34.14  29.59   9.18   0.80  -9.10   1.10  -1.03   2.81   0.61   0.54
    8 2006  20.10  23.68   6.68   8.42   3.11   0.59   0.78   1.10  -0.84  -1.25
    9 2006  19.25  27.20   8.32   9.53   2.84  -3.22  -2.60  -0.59   2.11   1.63
   10 2006   4.76  27.34   0.26   9.40   8.88   0.28  -1.11   0.42   1.29   1.09
   11 2006 -15.40  29.42  -3.68  -0.18   5.43  -1.49  -5.33   2.62   0.03   1.20
   12 2006 -28.44  26.26   1.93  -4.32   1.91  -5.42  -6.55  -0.53  -2.23  -0.82
    1 2007 -28.63  19.86   2.35  -1.26  12.58   1.48  -1.23   1.22  -1.71  -0.10
    2 2007 -30.84  20.49  -1.13  -7.08   2.54   2.17  -1.64   1.92  -0.10  -1.03
    3 2007 -34.71  17.98  -0.87  -2.58   5.38   0.74  -1.94  -1.67  -0.69   0.06
    4 2007 -38.12   9.79   1.37   4.36  -3.51   2.83  -0.85  -2.97   1.62   0.01
    5 2007 -41.13  -1.25  -8.14  12.88   0.56   2.72   0.24   0.19  -1.55   0.50
    6 2007 -35.67 -18.64  -7.04   3.43   2.79  -3.53   2.76   0.47   0.19   0.70
    7 2007 -27.93 -30.44   1.36  -4.02   6.97  -3.67   7.73   0.66  -0.60   0.07
    8 2007 -21.16 -39.30   3.04  -6.28   6.21  -4.62   1.77  -0.37  -1.29   1.34
    9 2007 -11.73 -45.13   5.61  -2.36   3.96  -4.14  -9.68  -0.58  -2.24  -0.33
   10 2007  -2.99 -45.83   3.64  -2.89  -4.63  -4.37 -18.16  -1.86  -1.61   0.31
   11 2007  17.23 -40.57  -6.34  13.26   1.95   2.75   0.74  -5.66  -2.20  -0.73
   12 2007  32.52 -39.40 -10.14   5.64 -16.07  -2.37  -0.04  -4.79  -0.24   1.42
    1 2008  38.66 -33.50  -9.73   4.89  -0.97   0.61   1.54   3.67  -0.50   0.80
    2 2008  47.21 -27.79  -9.80 -12.29 -16.63 -20.93  -6.34   2.26   0.88   1.58
    3 2008  52.21 -15.83  -6.22  -1.55   6.82  -9.33  -1.34  -3.62  -0.38  -0.64
    4 2008  51.56  -3.02  -1.35  -7.87   3.00  -1.02  -2.18  -8.98   1.92   1.19
    5 2008  46.27  11.85   7.38  -7.76  -0.71   6.65   2.11   0.15  -1.80   0.62
    6 2008  44.69  25.76   8.31  -3.88  -6.03   1.69   0.60   1.97   0.89  -0.13
    7 2008  30.96  32.41   7.44   9.11  -1.68  -3.01   0.43   1.73   1.85  -0.00
    8 2008  17.68  32.43  -3.89   9.32   0.02  -1.77  -0.70   0.13  -0.23  -0.77
    9 2008  12.06  32.56 -10.24  13.39   8.04   6.02   0.52   0.65  -1.27  -0.01
   10 2008  -3.52  33.57 -11.08   7.97   7.01   1.47   3.95  -2.40  -3.85   0.31
   11 2008 -15.73  31.49  -9.31  -5.81  -1.66  -0.17   0.80  -2.33  -2.07   0.96
   12 2008 -21.22  32.74  -8.02 -13.90  -4.84   0.35   1.49  -0.52  -3.04  -1.61
    1 2009 -16.61  33.61  -8.03  -9.77  -4.32   4.72   4.34   2.82   1.39  -2.13
    2 2009 -15.32  38.52 -10.59  -3.93  -6.45  -3.50   4.48  -2.15  -1.20   0.43
    3 2009 -16.59  28.41  -8.64  -2.74   2.54  -0.63   4.28  -0.35  -0.32  -0.94
    4 2009 -24.20  27.90  -1.80  -6.00   1.99  -3.70  -2.07   1.59  -0.20  -0.21
    5 2009 -30.83  27.48   3.02  -3.98   2.97  -2.26  -3.27  -0.90   1.50   0.17
    6 2009 -38.66  14.98   1.13   0.17   0.18   0.63  -1.41  -3.68   1.76   0.07
    7 2009 -40.91   4.21  10.49   3.90   5.23   1.23   6.24  -3.46  -0.12  -0.46
    8 2009 -38.42  -1.94  13.94  -5.70  -3.22  -5.79   4.28  -4.90  -0.16   1.39
    9 2009 -47.67   3.35   8.46  -2.64  -2.04  -1.04   2.45  -4.10  -1.46  -1.53
   10 2009 -47.79   1.24   8.77  -1.96   3.51  -2.38   4.61  -2.93  -0.71   0.38
   11 2009 -44.12  -9.41  10.60   0.12   5.94  -0.47   8.84  -0.31  -1.11   0.14
   12 2009 -48.44  -8.72   6.53  -2.34  -2.74   0.33   6.98   1.77   1.61   0.95
    1 2010 -46.46 -13.75   1.28   7.54   5.35   0.18   6.15   0.24  -1.23  -0.01
    2 2010 -45.19 -14.40  -5.75   0.27  -6.93   3.95   2.86   2.63   3.77   0.47
    3 2010 -41.05 -24.00  -9.15   0.77  -2.03  -0.51   1.32   3.00   0.96   0.72
    4 2010 -36.38 -31.99 -18.02   0.88  10.87  -1.56   0.83  -1.55  -0.08  -0.38
    5 2010 -10.65 -45.56   0.29 -10.62  14.32  -0.63   0.19  -4.13  -4.26   1.38
    6 2010  24.56 -41.54  -4.92  -8.39  -7.12  10.15  -2.54   1.99  -0.55  -0.32
    7 2010  46.13 -25.13 -13.36 -14.62  -3.19   3.79  -0.35   4.63  -0.46   0.59
    8 2010  47.30   1.35   0.34 -15.24   5.54   4.24  -2.29  -2.44  -3.30   0.93
    9 2010  44.52  15.56  15.39 -16.39  -8.21   7.81   1.16   3.34  -4.04   1.61
   10 2010  41.83  18.14  18.61  -7.54  -4.85   1.79   1.72   4.81   1.32  -0.10
   11 2010  36.59  20.38  17.22   1.08  -2.74  -6.48  -1.05  -0.25   1.81  -1.18
   12 2010  14.54  18.42   9.74   7.22   3.39  -4.63  -1.02  -2.05  -4.39  -2.22
    1 2011   7.34  18.47  -2.80  -0.24  -1.77  -2.03  -1.05  -2.12  -3.78   0.31
    2 2011  12.65  18.53  -2.84   8.75   0.82  -5.27  -0.33  -5.00  -2.04  -1.04
    3 2011   4.71  22.51  -9.89   8.18   0.49  -1.39   0.78  -4.13  -0.91  -1.00
    4 2011  -2.13  24.74 -13.17  -0.74   1.39   1.71   6.49  -0.62  -1.00  -1.83
    5 2011 -14.53  29.96  -4.04  -6.88   0.98  -3.68   1.41  -0.50   1.73  -0.62
    6 2011 -27.51  31.77   3.03  -6.78   9.40   0.84  -0.23   2.36  -1.18  -0.33
    7 2011 -32.62  25.42   6.94  -3.41  10.83  -3.77  -2.06  -2.05  -2.14  -0.22
    8 2011 -39.02  27.84   3.15  -6.68   5.79  -3.56  -0.51   0.90  -0.68  -2.03
    9 2011 -45.86  23.51   3.76  -2.58   7.50  -5.23  -1.00  -4.99  -1.18  -0.62
   10 2011 -46.65  19.91   1.71   0.04   9.20   0.30  -0.14  -4.37   1.48   1.69
   11 2011 -45.99   6.79   6.49  -0.04   2.24   2.09   2.10  -4.36   2.77   0.48
   12 2011 -42.08  -9.16   5.77  -4.33  -4.52  -2.89   2.40  -4.65  -0.99   1.34
    1 2012 -44.93  -5.46  -2.85  -6.15 -10.75   2.93   0.75  -3.87  -2.84   0.12
    2 2012 -41.47  -7.13  -2.93  -6.73 -10.33   5.11   1.46   0.45  -0.52  -0.33
    3 2012 -41.93  -6.86  -4.45  -7.94 -17.73   0.45  -3.83  -1.62  -0.65   2.33
    4 2012 -32.94 -12.40   2.50  -6.68 -11.26   9.02   0.12   3.62   0.75  -0.70
    5 2012 -22.74 -29.06  14.05  -4.87  -4.45  -3.24   6.36   4.28  -0.47   0.70
    6 2012  -7.33 -33.62  13.11   2.94  -8.07  -4.55  -9.92   5.51  -0.22   0.34
    7 2012   3.62 -34.44   4.25  12.23  -0.78   1.95  -4.95   3.71  -3.00  -1.37
    8 2012  10.55 -36.46   0.12  15.90  -6.07  -1.68  -1.27   0.82  -0.66   0.09
    9 2012  14.10 -38.07  -2.33  17.41  -1.81  -0.64   3.33   0.56  -0.54  -1.59
   10 2012  17.00 -38.25  -3.26  12.88  -7.87  -0.30   2.71  -1.16   1.58  -0.42
   11 2012  22.61 -36.74  -7.57  16.72  -8.66   2.60   5.59  -2.37  -0.78  -1.45
   12 2012  38.93 -29.77 -10.79  10.33  -5.25  -6.28   2.53  -0.62   2.76  -0.72
    1 2013  39.76 -25.98 -11.49  11.15   1.87  -8.19   1.70   7.05  -3.06   0.14
    2 2013  41.96 -23.46  -9.32   5.90   2.38 -11.43  -0.26   4.16  -2.76  -0.20
    3 2013  51.31 -19.17  -4.84  -1.14  10.02  -1.15   0.19   4.05   2.02  -1.10
    4 2013  52.21  -6.65  -1.32  -2.68  11.14   2.40  -0.17  -8.90   2.90  -1.11
    5 2013  54.58   4.06   1.27 -12.88   1.34   7.79   2.93  -4.83   1.26  -1.19
    6 2013  52.85  20.53  11.43  -8.41  -7.49   2.28   1.24   2.12  -1.83   0.37
    7 2013  40.80  26.72  13.05  -0.42  -6.55  -5.00   0.21   0.34  -1.84  -0.32
    8 2013  37.03  24.37  11.75   5.82  -1.89  -3.46   1.89   1.09   1.09  -0.54
    9 2013  35.27  22.84  11.39   9.35   1.13  -8.86   0.21  -1.67  -0.74   0.04
   10 2013  27.77  24.05  10.14  10.15   2.63  -5.55  -0.35  -1.61  -0.37   2.18
   11 2013  13.25  32.17  -5.51  10.15  -2.05  -1.56  -5.42  -1.17  -0.02  -0.23
   12 2013  -2.58  34.69 -13.74   5.85  -6.24  -4.71  -1.89  -2.68  -2.31  -0.90
    1 2014   1.63  34.30  -8.76  10.63   3.19  -0.97   2.46  -2.06  -1.29   0.20
    2 2014   0.02  29.75  -6.50   6.28   0.08  -1.27   3.06  -1.04   0.33   0.60
    3 2014  -5.72  25.97  -7.29   3.02   2.96   0.39   3.69  -0.50  -0.61   1.08
    4 2014 -21.57  26.05   0.30  -0.76   5.36  -3.97  -0.52   0.54   0.08   0.85
    5 2014 -29.84  13.59   4.25   3.65  -5.06   0.16  -1.25  -4.03   1.39   1.12
    6 2014 -38.05   4.73  -2.08   8.19  -7.85   1.02  -1.11  -2.76   1.17  -0.44
    7 2014 -43.53  -1.28  -8.51   7.18  -8.02   0.87  -0.52   0.53   0.82   0.11
    8 2014 -46.62  -3.77  -7.52   5.96  -8.94  -0.60  -0.07   1.39   0.88   0.15
    9 2014 -50.28  -8.90  -8.41   7.65  -3.25   0.13   0.05   0.82   0.96  -0.20
   10 2014 -46.29 -16.29  -7.76   1.70  -2.82   3.38  -0.13   4.20  -0.10  -0.31
   11 2014 -35.39 -30.91   6.11  -1.50   3.74  -8.30   4.17   2.42  -0.01  -0.00
   12 2014 -21.43 -41.61   7.95  -6.13   4.03  -4.11  -4.32   2.83   0.92  -1.29
    1 2015 -13.08 -44.76   9.91  -0.68   7.95   2.72  -7.15   4.37  -0.58  -0.28
    2 2015   0.18 -51.22  13.07   4.28   3.87   4.41 -13.32   5.46   1.70   0.44
    3 2015  10.45 -48.50   2.00   7.99  -4.42   3.71  -7.15   0.28   0.72   0.24
    4 2015  25.93 -45.61  -5.99   9.36  -7.20   4.01   1.11  -3.07   0.17   0.23
    5 2015  41.47 -31.81 -13.48  -1.21  -2.04   5.05   3.34   4.68  -2.84   0.14
    6 2015  47.55  -7.83  -8.67 -10.40   7.90   3.64   0.51   0.05  -2.91  -0.37
    7 2015  51.19  13.15   1.05 -14.43  -4.86   8.71  -0.27   0.38  -0.41   0.36
    8 2015  45.13  20.18  14.21  -1.97   1.64   7.56   3.37   3.33  -5.52   0.35
    9 2015  47.24  21.93  19.72   3.05  -0.05  -0.96   1.49   2.38   0.53  -0.47
   10 2015  34.26  21.06  15.62   5.90   2.32  -5.65   1.67   0.45   4.26   1.28
   11 2015  19.27  31.90  -0.78  14.86   4.88  -1.86  -3.74   0.40   0.65  -0.94
   12 2015   4.02  27.31 -15.72  15.29   4.88   0.88  -2.44   2.04   2.83  -0.36
    1 2016   8.70  20.64 -15.97   7.37  -0.14   1.86   0.88   7.20   3.76   0.19
    2 2016  16.19  13.94 -14.68  10.86  -3.54  -4.98  -0.99   4.78  -0.20  -0.42
    3 2016  20.12   0.41 -13.72  17.11  -2.91  -3.74  -0.12  11.56  -0.05   0.06
    4 2016  33.74 -14.72 -12.35  12.63   3.63  -2.78   0.91  10.23  -0.07  -0.31
    5 2016  40.12 -11.91 -13.96  -0.39   5.44 -10.56  -2.72   0.46   2.28  -0.21
    6 2016  37.02  -1.74 -12.42  -9.94   8.11   0.04  -2.70  -4.66  -0.84  -0.27
    7 2016  35.81  10.78  -5.14 -12.35   2.93   2.15  -2.32  -4.67  -0.17   0.91
    8 2016  37.50  20.98   3.12 -15.33  -6.73   1.68  -2.17  -1.94  -1.94   1.00
    9 2016  34.52  22.62   6.27 -13.05  -7.59   2.79  -0.81  -0.18  -3.48  -1.46
   10 2016  34.70  23.59   7.02 -11.46 -14.00   0.89   0.02   1.93  -1.23  -1.09
   11 2016  33.16  28.21   4.69  -2.91  -8.96   0.65  -2.99   1.05   0.32   0.29
   12 2016  29.49  30.52   6.27   3.85  -4.87  -1.48  -1.96  -0.01  -1.53   0.94
    1 2017  29.50  28.10   9.57   4.80  -6.78  -3.03  -2.05  -1.09  -2.18  -1.26
    2 2017  31.78  25.44  12.60   9.13  -2.31  -2.74  -0.00  -1.09  -1.13   0.62
    3 2017  21.62  27.57   0.12   9.50  -1.22   2.36  -2.39  -1.38  -1.82  -0.09
    4 2017   3.39  32.06  -4.80   4.57  -0.36  -3.38   3.45  -2.13  -0.86   0.88
    5 2017 -20.56  27.74   3.89   0.58   5.65  -2.94  -1.63  -0.69  -1.97  -0.26
    6 2017 -36.89  19.16   5.15   9.92   3.44   1.31  -1.65  -5.19   1.07   1.22
    7 2017 -45.09  11.83   2.02  15.74   3.45   4.92   0.14  -5.71  -0.37  -1.44
    8 2017 -48.56   7.40   0.09   5.32  -4.73   3.89  -0.14  -2.30   0.99   0.69
    9 2017 -51.87   5.15  -0.99   1.22  -5.45   1.21  -2.34  -3.93   0.31   2.08
   10 2017 -53.72  -0.41  -3.13   1.70  -2.96   3.30  -1.60   0.47  -0.31  -0.74
   11 2017 -50.85  -6.46  -0.00  -4.61  -9.92  -2.69  -0.19   0.26   1.13   2.81
   12 2017 -42.63 -18.38  10.92  -5.65  -1.08  -2.63  10.04  -0.08   0.45   0.17
    1 2018 -42.13 -21.03   9.37  -4.09  -9.37  -9.76   6.19  -4.26  -5.78  -0.44
    2 2018 -45.40 -14.33  -1.35  -0.81  -7.00   6.80   4.03   3.45  -0.75  -0.19
    3 2018 -45.83 -18.22   1.97   1.23  -2.67   2.65   5.60   0.90  -2.50  -0.51
    4 2018 -34.58 -31.61   5.40  -5.20  -7.47  -8.08   5.72   1.26   0.99   1.56
    5 2018 -20.31 -40.68   5.21  -3.87   4.48  -5.73   3.31   0.44   1.60  -0.04
    6 2018   1.10 -44.90   2.78   1.72   0.42  -1.02 -13.01   0.67  -2.02  -0.25
    7 2018  16.55 -41.94  -7.21   6.85  -1.86   2.71  -3.99  -1.62  -1.53   0.61
    8 2018  28.72 -40.51 -12.16   8.99  -5.43   2.15   2.30  -1.39  -0.20   0.62
    9 2018  39.73 -31.71 -14.12   0.11   5.09  -0.74   3.91   4.77  -1.72  -0.22
   10 2018  44.58 -21.31 -14.23  -8.25   8.65  -3.95   0.89   4.13  -1.10   0.64
   11 2018  52.37  -7.67  -6.94 -11.20   8.23   0.49  -1.81  -3.12   3.26   0.61
   12 2018  49.71   4.93  -1.66  -7.73   4.99   3.04  -3.51  -7.80   4.38  -2.25
    1 2019  41.39   7.10   2.57   0.19   9.73   2.49  -1.25  -7.00   0.74   0.25
    2 2019  32.91   5.39  11.98  -4.07   4.76   4.48   0.96   1.77  -1.42   0.58
    3 2019  40.82  12.51  15.69   5.65   4.30  -1.51   1.08   0.53  -1.61   1.49
    4 2019  38.68  16.88   9.59  -0.93  -7.01   1.88   0.49   2.64   1.04  -1.17
    5 2019  25.82  33.44  -4.31   5.19  -7.05  -0.67  -0.39   0.54   4.56  -0.02
    6 2019   4.25  39.66 -10.86   1.54  -3.88  -6.83   5.40  -2.71   0.21   1.06
    7 2019  -2.30  40.22  -9.01   3.40  -0.06  -3.83   3.26  -1.33   2.01  -0.29
    8 2019  -7.84  37.27 -11.92   1.93  -1.87  -7.07   0.94  -2.55  -1.24   0.21
    9 2019  -4.69  30.74 -14.85   0.72   2.78   0.55  -1.21  -1.10  -1.53  -0.91
   10 2019 -18.23  25.21 -13.15  -1.49  11.05   1.95   0.10   0.68   0.88  -0.18
   11 2019 -27.82  22.90 -11.64  -7.65   9.31   0.21  -3.20   3.78   4.87   1.69
   12 2019 -36.76  20.19 -10.86  -3.86  11.60  -1.39  -5.49   3.43  -0.10   1.06
    1 2020 -33.11   9.81 -12.52  -9.14   4.99  -4.47  -4.43   7.08   0.55   0.91
    2 2020 -30.58   2.50 -17.91 -10.55   4.23  -5.51  -0.70   6.30  -1.32   0.66
    3 2020 -26.32  -2.71 -23.93  -7.63   2.45  -9.79   2.13   5.82   1.72  -0.01
    4 2020 -11.94  -7.63 -31.88  -4.88  10.27  -3.88   5.98   3.17   1.42  -0.35
    5 2020  17.53 -21.39 -12.22 -14.09   7.27  -8.26   7.93   4.02  -1.02  -0.34
    6 2020  25.88  -9.66 -10.72 -19.61   9.96  -3.28   3.68   2.20   0.70  -0.02
    7 2020  24.94   5.51  -4.43 -25.68   3.04   5.62   4.48   0.27   1.08  -0.92
    8 2020  19.65  18.78   2.02 -18.38  -2.30   6.23   5.07   1.00  -0.97   1.92
    9 2020  18.53  27.01   0.10 -13.39 -11.65   2.33   0.95   1.64  -0.56   1.34
   10 2020  13.91  35.71  -4.61  -3.37 -17.18  -6.64  -4.13  -1.08  -0.63   0.23
   11 2020  -1.09  39.20  -9.55  -0.39  -4.91  -3.51  -0.92  -0.01   2.52  -0.64
   12 2020 -12.77  35.30 -11.40   0.82  -2.79  -4.43   2.25  -2.67  -3.92  -0.72
    1 2021  -9.05  25.09 -14.98  -0.28  -6.31  -5.55  -0.22  -3.34  -5.79  -1.08
    2 2021  -7.73  22.52 -10.93  -0.79  -5.92   0.31   3.21   0.05   1.18  -0.73
    3 2021 -11.95  23.03  -8.89  -0.55  -0.27   0.19   4.34  -0.57   1.75  -0.44
    4 2021 -22.39  23.85  -1.52  -5.18  -1.50  -3.15  -1.73   0.73   0.01  -0.77
    5 2021 -28.87  19.75  -0.44  -3.48  -1.64   2.02  -2.60   1.04   0.36  -0.25
    6 2021 -33.36  11.53   7.50   2.41   0.57   3.57   2.18  -2.43   0.44  -0.96
    7 2021 -32.07  -2.40  21.52   1.07   4.21  -1.95   9.33  -5.35  -1.46   0.37
    8 2021 -33.48  -4.65  19.29   0.95   2.01  -3.47   4.64  -2.98   0.99   1.69
    9 2021 -41.11 -11.25  19.10  -0.17   5.29  -2.18   7.76  -2.31  -0.55  -0.58
   10 2021 -40.36 -14.82  18.39   3.83   5.77  -4.44   5.81  -1.82  -1.07  -0.26
   11 2021 -28.91 -26.91  16.33  -1.09   1.70  -6.52   0.76   1.62  -4.57  -1.88
   12 2021 -16.29 -34.34  16.08   1.39   2.23  -1.70  -4.30   4.91   1.03  -0.81
    1 2022 -10.75 -37.13  13.70   4.15  -0.00  -3.20  -2.98   0.49   1.11  -0.03
    2 2022   0.53 -42.25  16.73   6.57  -3.19  -5.70  -2.20  -2.03   1.30  -0.42
    3 2022   1.38 -44.66  14.11   9.82   0.97  -2.10  -1.87   0.23  -0.43  -0.13
    4 2022  14.83 -44.49   5.54  10.98  -0.24  -2.02   0.47  -1.37   0.21  -0.34
    5 2022  32.68 -35.43 -11.89   9.29  -8.09   1.36   5.37  -2.65   1.93  -0.36
    6 2022  43.28 -14.15 -16.54  -7.19   0.97  -1.82   0.76   3.59   0.52  -0.39
    7 2022  46.45   1.48 -12.63 -16.98   1.44   3.74  -0.58  -0.08   1.65  -0.74
    8 2022  43.32  12.72  -0.28 -16.28  -3.43   6.16  -0.03   0.35   0.04  -0.17
    9 2022  42.73  21.57  10.33  -8.65  -1.30   4.70   2.70   2.37  -0.86   0.13
   10 2022  43.27  22.96  16.34  -6.95 -12.21  -3.90  -0.02   0.76   0.68  -0.64
   11 2022  35.90  25.19  13.18   0.96  -8.05  -4.83  -0.65   0.63   1.73   0.56
   12 2022  23.51  25.54   6.46   0.07 -11.22  -6.65  -2.50  -0.74   3.49  -0.85
    1 2023  20.50  23.23   2.36  -4.05 -16.15  -7.09  -3.19  -1.89   3.10  -1.07
    2 2023  15.15  19.66  -1.17   3.30  -3.91   0.42   0.81  -1.01   0.96  -0.14
    3 2023  13.68  27.50  -3.35   5.81  -4.06   1.11   1.56  -0.12  -0.22   0.04
    4 2023   8.93  34.50  -3.64   7.97   1.06   0.45   1.15   0.64  -1.58   0.59
    5 2023  -9.12  30.82  -0.88  -4.73  -1.44  -1.98  -3.64  -0.04  -0.15  -0.47
    6 2023 -30.30  27.85   3.96   3.70   6.79  -1.34  -3.45   0.27   0.88  -0.22
    7 2023 -40.84  18.46   0.26  10.41   9.58   1.60  -1.19  -1.54   1.64   0.21
    8 2023 -46.00  12.13  -3.53   5.26   4.92   2.83  -1.12  -0.43   1.86   0.17
    9 2023 -48.98   3.33  -4.29   5.64   2.97   0.25  -1.49  -1.07   2.60  -0.10
   10 2023 -45.11  -3.51  -3.97   7.41   6.48   4.28   0.61   1.60   0.80   0.37
   11 2023 -35.96 -17.13  -4.13   5.02   6.01   0.47  -1.47   2.99   0.50  -0.14
   12 2023 -22.49 -33.15  -0.03   1.81  11.12  -0.35  -2.78   0.93   1.18   0.16
